timestamp,src_ip,dst_ip,proto,dst_port,flags,length
1788346716.1076488,192.168.1.13,192.168.1.1,UDP,3389,,64
1788346716.3098273,192.168.1.13,192.168.1.1,UDP,3389,,64
1788346716.3757148,192.168.1.12,192.168.1.1,TCP,3389,SA,64
1788346716.5663893,192.168.1.13,192.168.1.1,UDP,22,,64
1788346716.734337,192.168.1.11,192.168.1.1,UDP,53,,64
1788346716.9189954,192.168.1.13,192.168.1.1,UDP,53,,64
1788346717.0365334,192.168.1.12,192.168.1.1,TCP,3389,SA,64
1788346717.3002546,192.168.1.12,192.168.1.1,UDP,53,,64
1788346717.5118594,192.168.1.13,192.168.1.1,TCP,53,SA,64
1788346717.681509,192.168.1.11,192.168.1.1,TCP,22,SA,64
1788346717.7484193,192.168.1.13,192.168.1.1,UDP,80,,64
1788346717.8572068,192.168.1.12,192.168.1.1,UDP,53,,64
1788346717.9803631,192.168.1.13,192.168.1.1,TCP,80,SA,64
1788346718.1991165,192.168.1.10,192.168.1.1,TCP,22,SA,64
1788346718.4684172,192.168.1.11,192.168.1.1,TCP,53,SA,64
1788346718.6845443,192.168.1.11,192.168.1.1,TCP,53,SA,64
1788346718.9423,192.168.1.13,192.168.1.1,UDP,3389,,64
1788346719.06775,192.168.1.12,192.168.1.1,TCP,53,SA,64
1788346719.131173,192.168.1.12,192.168.1.1,TCP,22,SA,64
1788346719.276422,192.168.1.10,192.168.1.1,TCP,22,SA,64
1788346719.487009,192.168.1.13,192.168.1.1,UDP,3389,,64
1788346719.5592372,192.168.1.10,192.168.1.1,UDP,443,,64
1788346719.7391577,192.168.1.12,192.168.1.1,TCP,80,SA,64
1788346720.0363402,192.168.1.13,192.168.1.1,TCP,22,SA,64
1788346720.264254,192.168.1.10,192.168.1.1,TCP,53,SA,64
1788346720.483959,192.168.1.13,192.168.1.1,TCP,22,SA,64
1788346720.7235353,192.168.1.12,192.168.1.1,UDP,80,,64
1788346720.8296688,192.168.1.10,192.168.1.1,UDP,3389,,64
1788346721.048531,192.168.1.13,192.168.1.1,TCP,53,SA,64
1788346721.3112712,192.168.1.10,192.168.1.1,TCP,53,SA,64
1788346721.4865022,192.168.1.13,192.168.1.1,TCP,80,SA,64
1788346721.6059859,192.168.1.11,192.168.1.1,UDP,3389,,64
1788346721.6932886,192.168.1.13,192.168.1.1,TCP,443,SA,64
1788346721.800844,192.168.1.10,192.168.1.1,UDP,3389,,64
1788346722.0685594,192.168.1.12,192.168.1.1,TCP,22,SA,64
1788346722.188813,192.168.1.13,192.168.1.1,TCP,53,SA,64
1788346722.4182665,192.168.1.13,192.168.1.1,TCP,22,SA,64
1788346722.5045052,192.168.1.11,192.168.1.1,UDP,80,,64
1788346722.5946796,192.168.1.13,192.168.1.1,TCP,53,SA,64
1788346722.7008336,192.168.1.13,192.168.1.1,TCP,3389,SA,64
1788346722.7508335,10.0.0.66,192.168.1.1,TCP,1000,S,64
1788346722.8008335,10.0.0.66,192.168.1.1,TCP,1001,S,64
1788346722.8508334,10.0.0.66,192.168.1.1,TCP,1002,S,64
1788346722.9008334,10.0.0.66,192.168.1.1,TCP,1003,S,64
1788346722.9508333,10.0.0.66,192.168.1.1,TCP,1004,S,64
1788346723.0008333,10.0.0.66,192.168.1.1,TCP,1005,S,64
1788346723.0508332,10.0.0.66,192.168.1.1,TCP,1006,S,64
1788346723.1008332,10.0.0.66,192.168.1.1,TCP,1007,S,64
1788346723.1508331,10.0.0.66,192.168.1.1,TCP,1008,S,64
1788346723.200833,10.0.0.66,192.168.1.1,TCP,1009,S,64
1788346723.250833,10.0.0.66,192.168.1.1,TCP,1010,S,64
1788346723.300833,10.0.0.66,192.168.1.1,TCP,1011,S,64
1788346723.350833,10.0.0.66,192.168.1.1,TCP,1012,S,64
1788346723.400833,10.0.0.66,192.168.1.1,TCP,1013,S,64
1788346723.4508328,10.0.0.66,192.168.1.1,TCP,1014,S,64
1788346723.5008328,10.0.0.66,192.168.1.1,TCP,1015,S,64
1788346723.5508327,10.0.0.66,192.168.1.1,TCP,1016,S,64
1788346723.6008327,10.0.0.66,192.168.1.1,TCP,1017,S,64
1788346723.6508327,10.0.0.66,192.168.1.1,TCP,1018,S,64
1788346723.7008326,10.0.0.66,192.168.1.1,TCP,1019,S,64
1788346723.7508326,10.0.0.66,192.168.1.1,TCP,1020,S,64
1788346723.8008325,10.0.0.66,192.168.1.1,TCP,1021,S,64
1788346723.8508325,10.0.0.66,192.168.1.1,TCP,1022,S,64
1788346723.9008324,10.0.0.66,192.168.1.1,TCP,1023,S,64
1788346723.9508324,10.0.0.66,192.168.1.1,TCP,1024,S,64
1788346724.1690664,192.168.1.12,192.168.1.1,TCP,3389,SA,64
1788346724.2458127,192.168.1.11,192.168.1.1,UDP,53,,64
1788346724.527111,192.168.1.10,192.168.1.1,UDP,80,,64
1788346724.7370243,192.168.1.12,192.168.1.1,UDP,443,,64
1788346724.836713,192.168.1.13,192.168.1.1,TCP,443,SA,64
1788346724.9804013,192.168.1.10,192.168.1.1,TCP,22,SA,64
1788346725.1205332,192.168.1.10,192.168.1.1,TCP,53,SA,64
1788346725.4103565,192.168.1.12,192.168.1.1,UDP,53,,64
1788346725.5200834,192.168.1.11,192.168.1.1,TCP,443,SA,64
1788346725.7975504,192.168.1.11,192.168.1.1,TCP,3389,SA,64
1788346725.925326,192.168.1.12,192.168.1.1,TCP,22,SA,64
1788346726.0407484,192.168.1.11,192.168.1.1,UDP,80,,64
1788346726.2845013,192.168.1.11,192.168.1.1,TCP,22,SA,64
1788346726.44862,192.168.1.10,192.168.1.1,UDP,22,,64
1788346726.541872,192.168.1.11,192.168.1.1,TCP,80,SA,64
1788346726.6953382,192.168.1.13,192.168.1.1,UDP,53,,64
1788346726.8101816,192.168.1.10,192.168.1.1,TCP,3389,SA,64
1788346726.9790807,192.168.1.10,192.168.1.1,TCP,3389,SA,64
1788346727.0755997,192.168.1.12,192.168.1.1,TCP,53,SA,64
1788346727.2298534,192.168.1.13,192.168.1.1,UDP,53,,64
1788346727.375406,192.168.1.13,192.168.1.1,TCP,3389,SA,64
1788346727.4357803,192.168.1.11,192.168.1.1,TCP,443,SA,64
1788346727.5869255,192.168.1.13,192.168.1.1,UDP,443,,64
1788346727.6990073,192.168.1.12,192.168.1.1,UDP,3389,,64
1788346727.7686603,192.168.1.12,192.168.1.1,TCP,22,SA,64
1788346728.0339563,192.168.1.10,192.168.1.1,TCP,443,SA,64
1788346728.1679406,192.168.1.12,192.168.1.1,UDP,3389,,64
1788346728.2580354,192.168.1.11,192.168.1.1,UDP,53,,64
1788346728.5275784,192.168.1.13,192.168.1.1,TCP,80,SA,64
1788346728.613439,192.168.1.11,192.168.1.1,TCP,443,SA,64
1788346728.676166,192.168.1.12,192.168.1.1,UDP,53,,64
1788346728.9705803,192.168.1.11,192.168.1.1,TCP,53,SA,64
1788346729.138249,192.168.1.12,192.168.1.1,TCP,443,SA,64
1788346729.35816,192.168.1.10,192.168.1.1,UDP,443,,64
1788346729.6401672,192.168.1.12,192.168.1.1,UDP,53,,64
1788346729.9028893,192.168.1.12,192.168.1.1,TCP,22,SA,64
1788346730.1573126,192.168.1.12,192.168.1.1,UDP,443,,64
